term_id,Name,hallmark
GO:0009967,Positive regulation of signal transduction,sustaning proliferative signal
GO:0030307,Positive regulation of cell growth,sustaning proliferative signal
GO:0008284,Positive regulation of cell proliferation,sustaning proliferative signal
GO:0045787,Positivie regulation of cell cycle,sustaning proliferative signal
GO:0007165,Signal transduction,sustaning proliferative signal
GO:0000075,Cell Cycle Checkpoint,sustaning proliferative signal
GO:1901976,regulation of cell cycle checkpoint,sustaning proliferative signal
GO:1901987,regulation of cell cycle phase transition,sustaning proliferative signal
GO:0045786,negative regulation of cell cycle,sustaning proliferative signal
GO:0050673,epithelial cell proliferation,sustaning proliferative signal
GO:0050678,regulation of epithelial cell proliferation,sustaning proliferative signal
GO:0043616,keratinocyte proliferation,sustaning proliferative signal
GO:0010837,regulation of keratinocyte proliferation,sustaning proliferative signal
GO:0072089,stem cell proliferation,sustaning proliferative signal
GO:0008283,Cell Proliferation,sustaning proliferative signal
GO:0042127,Regulation of Cell Proliferation,sustaning proliferative signal
GO:0008285,Negative Regulation of Cell Proliferation,sustaning proliferative signal
GO:0007049,Cell Cycle,sustaning proliferative signal
GO:0051726,Regulation of Cell Cycle,sustaning proliferative signal
GO:0051301,Cell Division,sustaning proliferative signal
GO:0051302,Regulation of Cell Division,sustaning proliferative signal
GO:0051781,Positive Regulation of Cell Division,sustaning proliferative signal
GO:0051782,Negative Regulation of Cell Division,sustaning proliferative signal
GO:0016049, cell growth ,sustaning proliferative signal
GO:0009968,Negative regulation of signal transduction,Evading growth suppressor
GO:0030308,Negative regulation of cell growth,Evading growth suppressor
GO:0008285,Negative regulation of cell proliferation,Evading growth suppressor
GO:0045786,Negative regulation of cell cycle,Evading growth suppressor
GO:0007165,Signal transduction,Evading growth suppressor
GO:0051782, negative regulation of cell division,Evading growth suppressor
GO:0043069,Negative regualtion of programmed cell death,Resist cell Death
GO:0043066,Negative regulation of apoptosis,Resist cell Death
GO:0045768,Positive regulation of anti-apoptosis,Resist cell Death
GO:0070265,necrotic cell death,Resist cell Death
GO:0010939,regulation of necrotic cell death,Resist cell Death
GO:0097300,programmed necrotic cell death,Resist cell Death
GO:2001233,regulation of apoptotic signaling pathway,Resist cell Death
GO:0012501, programmed cell death ,Resist cell Death
GO:0043067, regulation of programmed cell death,Resist cell Death
GO:0043068,Positive Regulation of Programmed Cell Death,Resist cell Death
